,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,1999,39,4430141.0,0.9,0.6,1.2,116.0
1,US02,Alaska,1999,28,624779.0,4.75,3.0,6.5,116.0
2,US04,Arizona,1999,250,5023823.0,5.0,4.4,5.6,116.0
3,US05,Arkansas,1999,29,2651860.0,1.15,0.7,1.6,116.0
4,US06,California,1999,1598,33499204.0,4.75,4.5,5.0,116.0
5,US08,Colorado,1999,169,4226018.0,4.0,3.4,4.6,116.0
6,US09,Connecticut,1999,158,3386401.0,4.65,3.9,5.4,116.0
7,US10,Delaware,1999,32,774990.0,4.3,2.8,5.8,116.0
8,US11,District of Columbia,1999,28,570213.0,5.2,3.3,7.1,116.0
9,US12,Florida,1999,417,15759421.0,2.65,2.4,2.9,116.0
10,US13,Georgia,1999,85,8045965.0,1.05,0.8,1.3,116.0
11,US15,Hawaii,1999,34,1210300.0,2.9,1.9,3.9,116.0
12,US16,Idaho,1999,32,1275674.0,2.6,1.7,3.5,116.0
13,US17,Illinois,1999,544,12359020.0,4.4,4.0,4.8,116.0
14,US18,Indiana,1999,49,6044969.0,0.85,0.6,1.1,116.0
15,US19,Iowa,1999,15,2917634.0,0.55,0.3,0.8,116.0
16,US20,Kansas,1999,26,2678338.0,1.0,0.6,1.4,116.0
17,US21,Kentucky,1999,56,4018053.0,1.45,1.1,1.8,116.0
18,US22,Louisiana,1999,30,4460811.0,0.75,0.5,1.0,116.0
19,US23,Maine,1999,32,1266808.0,2.65,1.7,3.6,116.0
20,US24,Maryland,1999,503,5254509.0,9.55,8.7,10.4,116.0
21,US25,Massachusetts,1999,346,6317345.0,5.5,4.9,6.1,116.0
22,US26,Michigan,1999,140,9897116.0,1.4,1.2,1.6,116.0
23,US27,Minnesota,1999,67,4873481.0,1.4,1.1,1.7,116.0
24,US28,Mississippi,1999,16,2828408.0,0.6,0.3,0.9,116.0
25,US29,Missouri,1999,106,5561948.0,1.9,1.5,2.3,116.0
26,US30,Montana,1999,16,897507.0,1.95,1.0,2.9,116.0
27,US31,Nebraska,1999,360,1704764.0,6.71668742217,5.78667496887,7.64669987547,116.0
28,US32,Nevada,1999,166,1934718.0,8.6,7.3,9.9,116.0
29,US33,New Hampshire,1999,41,1222014.0,3.5,2.4,4.6,116.0
30,US34,New Jersey,1999,344,8359592.0,4.1,3.7,4.5,116.0
31,US35,New Mexico,1999,187,1808082.0,10.35,8.9,11.8,116.0
32,US36,New York,1999,664,18882725.0,3.5,3.2,3.8,116.0
33,US37,North Carolina,1999,161,7949361.0,2.0,1.7,2.3,116.0
34,US38,North Dakota,1999,360,644259.0,6.71668742217,5.78667496887,7.64669987547,116.0
35,US39,Ohio,1999,180,11335454.0,1.6,1.4,1.8,116.0
36,US40,Oklahoma,1999,91,3437147.0,2.7,2.1,3.3,116.0
37,US41,Oregon,1999,201,3393941.0,5.9,5.1,6.7,116.0
38,US42,Pennsylvania,1999,328,12263805.0,2.7,2.4,3.0,116.0
39,US44,Rhode Island,1999,36,1040402.0,3.6,2.4,4.8,116.0
40,US45,South Carolina,1999,50,3974682.0,1.3,0.9,1.7,116.0
41,US46,South Dakota,1999,360,750412.0,6.71668742217,5.78667496887,7.64669987547,116.0
42,US47,Tennessee,1999,91,5638706.0,1.65,1.3,2.0,116.0
43,US48,Texas,1999,379,20558220.0,1.85,1.7,2.0,116.0
44,US49,Utah,1999,145,2203482.0,6.6,5.5,7.7,116.0
45,US50,Vermont,1999,17,604683.0,3.05,1.6,4.5,116.0
46,US51,Virginia,1999,210,7000174.0,3.0,2.6,3.4,116.0
47,US53,Washington,1999,372,5842564.0,6.35,5.7,7.0,116.0
48,US54,West Virginia,1999,34,1811799.0,1.95,1.3,2.6,116.0
49,US55,Wisconsin,1999,85,5332666.0,1.65,1.3,2.0,116.0
50,US56,Wyoming,1999,360,491780.0,6.71668742217,5.78667496887,7.64669987547,116.0
51,US01,Alabama,2000,46,4447100.0,1.1,0.8,1.4,126.0
52,US02,Alaska,2000,27,626932.0,4.55,2.8,6.3,126.0
53,US04,Arizona,2000,249,5130632.0,4.9,4.3,5.5,126.0
54,US05,Arkansas,2000,20,2673400.0,0.85,0.5,1.2,126.0
55,US06,California,2000,1105,33871648.0,3.3,3.1,3.5,126.0
56,US08,Colorado,2000,184,4301261.0,4.3,3.7,4.9,126.0
57,US09,Connecticut,2000,173,3405565.0,5.05,4.3,5.8,126.0
58,US10,Delaware,2000,36,783600.0,4.8,3.2,6.4,126.0
59,US11,District of Columbia,2000,43,572059.0,7.75,5.4,10.1,126.0
60,US12,Florida,2000,571,15982378.0,3.6,3.3,3.9,126.0
61,US13,Georgia,2000,134,8186453.0,1.65,1.4,1.9,126.0
62,US15,Hawaii,2000,31,1211537.0,2.65,1.7,3.6,126.0
63,US16,Idaho,2000,29,1293953.0,2.35,1.5,3.2,126.0
64,US17,Illinois,2000,629,12419293.0,5.1,4.7,5.5,126.0
65,US18,Indiana,2000,47,6080485.0,0.8,0.6,1.0,126.0
66,US19,Iowa,2000,19,2926324.0,0.7,0.4,1.0,126.0
67,US20,Kansas,2000,23,2688418.0,0.9,0.5,1.3,126.0
68,US21,Kentucky,2000,94,4041769.0,2.35,1.9,2.8,126.0
69,US22,Louisiana,2000,53,4468976.0,1.25,0.9,1.6,126.0
70,US23,Maine,2000,42,1274923.0,3.45,2.4,4.5,126.0
71,US24,Maryland,2000,497,5296486.0,9.4,8.6,10.2,126.0
72,US25,Massachusetts,2000,319,6349097.0,5.05,4.5,5.6,126.0
73,US26,Michigan,2000,196,9938444.0,1.95,1.7,2.2,126.0
74,US27,Minnesota,2000,69,4919479.0,1.45,1.1,1.8,126.0
75,US28,Mississippi,2000,14,2844658.0,0.55,0.3,0.8,126.0
76,US29,Missouri,2000,138,5595211.0,2.5,2.1,2.9,126.0
77,US30,Montana,2000,13,902195.0,1.65,0.8,2.5,126.0
78,US31,Nebraska,2000,16,1711263.0,1.0,0.5,1.5,126.0
79,US32,Nevada,2000,203,1998257.0,10.2,8.8,11.6,126.0
80,US33,New Hampshire,2000,29,1235786.0,2.5,1.6,3.4,126.0
81,US34,New Jersey,2000,363,8414350.0,4.35,3.9,4.8,126.0
82,US35,New Mexico,2000,190,1819046.0,10.45,9.0,11.9,126.0
83,US36,New York,2000,521,18976457.0,2.75,2.5,3.0,126.0
84,US37,North Carolina,2000,292,8049313.0,3.6,3.2,4.0,126.0
85,US38,North Dakota,2000,360,642200.0,6.71668742217,5.78667496887,7.64669987547,126.0
86,US39,Ohio,2000,270,11353140.0,2.4,2.1,2.7,126.0
87,US40,Oklahoma,2000,136,3450654.0,3.95,3.3,4.6,126.0
88,US41,Oregon,2000,178,3421399.0,5.2,4.4,6.0,126.0
89,US42,Pennsylvania,2000,330,12281054.0,2.7,2.4,3.0,126.0
90,US44,Rhode Island,2000,61,1048319.0,6.0,4.5,7.5,126.0
91,US45,South Carolina,2000,90,4012012.0,2.3,1.8,2.8,126.0
92,US46,South Dakota,2000,360,754844.0,6.71668742217,5.78667496887,7.64669987547,126.0
93,US47,Tennessee,2000,103,5689283.0,1.85,1.5,2.2,126.0
94,US48,Texas,2000,457,20851820.0,2.2,2.0,2.4,126.0
95,US49,Utah,2000,159,2233169.0,7.1,6.0,8.2,126.0
96,US50,Vermont,2000,24,608827.0,4.2,2.5,5.9,126.0
97,US51,Virginia,2000,260,7078515.0,3.65,3.2,4.1,126.0
98,US53,Washington,2000,374,5894121.0,6.35,5.7,7.0,126.0
99,US54,West Virginia,2000,52,1808344.0,2.95,2.1,3.8,126.0
100,US55,Wisconsin,2000,117,5363675.0,2.2,1.8,2.6,126.0
101,US56,Wyoming,2000,10,493782.0,2.35,1.0,3.7,126.0
102,US01,Alabama,2001,67,4467634.0,1.55,1.2,1.9,138.0
103,US02,Alaska,2001,17,633714.0,2.95,1.6,4.3,138.0
104,US04,Arizona,2001,275,5273477.0,5.2,4.6,5.8,138.0
105,US05,Arkansas,2001,30,2691571.0,1.2,0.8,1.6,138.0
106,US06,California,2001,605,34479458.0,1.75,1.6,1.9,138.0
107,US08,Colorado,2001,204,4425687.0,4.6,4.0,5.2,138.0
108,US09,Connecticut,2001,158,3432835.0,4.6,3.9,5.3,138.0
109,US10,Delaware,2001,40,795699.0,5.2,3.6,6.8,138.0
110,US11,District of Columbia,2001,48,574504.0,8.65,6.2,11.1,138.0
111,US12,Florida,2001,890,16356966.0,5.45,5.1,5.8,138.0
112,US13,Georgia,2001,199,8377038.0,2.35,2.0,2.7,138.0
113,US15,Hawaii,2001,39,1225948.0,3.3,2.3,4.3,138.0
114,US16,Idaho,2001,51,1319962.0,4.0,2.9,5.1,138.0
115,US17,Illinois,2001,583,12488445.0,4.65,4.3,5.0,138.0
116,US18,Indiana,2001,79,6127760.0,1.3,1.0,1.6,138.0
117,US19,Iowa,2001,29,2931997.0,1.05,0.7,1.4,138.0
118,US20,Kansas,2001,47,2702162.0,1.8,1.3,2.3,138.0
119,US21,Kentucky,2001,149,4068132.0,3.7,3.1,4.3,138.0
120,US22,Louisiana,2001,87,4477875.0,2.0,1.6,2.4,138.0
121,US23,Maine,2001,61,1285692.0,4.85,3.6,6.1,138.0
122,US24,Maryland,2001,500,5374691.0,9.3,8.5,10.1,138.0
123,US25,Massachusetts,2001,519,6397634.0,8.1,7.4,8.8,138.0
124,US26,Michigan,2001,211,9991120.0,2.1,1.8,2.4,138.0
125,US27,Minnesota,2001,112,4982796.0,2.25,1.8,2.7,138.0
126,US28,Mississippi,2001,26,2852994.0,0.95,0.6,1.3,138.0
127,US29,Missouri,2001,137,5641142.0,2.4,2.0,2.8,138.0
128,US30,Montana,2001,21,906961.0,2.45,1.4,3.5,138.0
129,US31,Nebraska,2001,32,1719836.0,1.95,1.3,2.6,138.0
130,US32,Nevada,2001,205,2098399.0,9.75,8.4,11.1,138.0
131,US33,New Hampshire,2001,53,1255517.0,4.35,3.2,5.5,138.0
132,US34,New Jersey,2001,419,8492671.0,4.95,4.5,5.4,138.0
133,US35,New Mexico,2001,155,1831690.0,8.45,7.1,9.8,138.0
134,US36,New York,2001,654,19082838.0,3.45,3.2,3.7,138.0
135,US37,North Carolina,2001,342,8210122.0,4.15,3.7,4.6,138.0
136,US38,North Dakota,2001,360,639062.0,6.71668742217,5.78667496887,7.64669987547,138.0
137,US39,Ohio,2001,356,11387404.0,3.15,2.8,3.5,138.0
138,US40,Oklahoma,2001,170,3467100.0,4.9,4.2,5.6,138.0
139,US41,Oregon,2001,198,3467937.0,5.7,4.9,6.5,138.0
140,US42,Pennsylvania,2001,266,12298970.0,2.15,1.9,2.4,138.0
141,US44,Rhode Island,2001,86,1057142.0,8.25,6.5,10.0,138.0
142,US45,South Carolina,2001,89,4064995.0,2.25,1.8,2.7,138.0
143,US46,South Dakota,2001,10,757972.0,1.5,0.6,2.4,138.0
144,US47,Tennessee,2001,145,5750789.0,2.5,2.1,2.9,138.0
145,US48,Texas,2001,602,21319622.0,2.8,2.6,3.0,138.0
146,US49,Utah,2001,167,2283715.0,7.3,6.2,8.4,138.0
147,US50,Vermont,2001,39,612223.0,6.6,4.5,8.7,138.0
148,US51,Virginia,2001,326,7198362.0,4.5,4.0,5.0,138.0
149,US53,Washington,2001,332,5985722.0,5.5,4.9,6.1,138.0
150,US54,West Virginia,2001,150,1801481.0,8.35,7.0,9.7,138.0
151,US55,Wisconsin,2001,143,5406835.0,2.65,2.2,3.1,138.0
152,US56,Wyoming,2001,360,494657.0,6.71668742217,5.78667496887,7.64669987547,138.0
153,US01,Alabama,2002,75,4480089.0,1.7,1.3,2.1,142.0
154,US02,Alaska,2002,360,642337.0,6.71668742217,5.78667496887,7.64669987547,142.0
155,US04,Arizona,2002,340,5396255.0,6.3,5.6,7.0,142.0
156,US05,Arkansas,2002,96,2705927.0,3.6,2.9,4.3,142.0
157,US06,California,2002,1583,34871843.0,4.55,4.3,4.8,142.0
158,US08,Colorado,2002,206,4490406.0,4.6,4.0,5.2,142.0
159,US09,Connecticut,2002,174,3458749.0,5.05,4.3,5.8,142.0
160,US10,Delaware,2002,54,806169.0,6.85,5.0,8.7,142.0
161,US11,District of Columbia,2002,29,573158.0,5.35,3.4,7.3,142.0
162,US12,Florida,2002,1001,16689370.0,6.0,5.6,6.4,142.0
