year,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
1999,7,693,1871,3673,2266,6,402,110,58,15,6,8
2000,7,803,1817,3659,2469,17,454,102,38,21,7,10
2001,14,1049,1932,3905,2878,18,548,107,56,28,6,8
2002,16,1302,2466,4693,3783,19,732,173,64,37,8,8
2003,16,1563,2676,4717,4210,18,920,193,73,38,8,3
2004,17,1768,2892,4722,4482,33,1121,207,87,30,9,4
2005,23,1881,3240,4715,5189,29,1358,259,98,49,7,2
2006,23,2393,4058,5355,6068,33,1754,269,110,43,10,5
2007,31,2450,4372,5306,6211,45,2084,308,97,59,8,2
2008,39,2588,4626,5367,6694,41,2416,387,101,41,7,1
2009,28,2521,4939,5363,6929,27,2837,464,133,48,9,2
2010,26,2681,5323,5436,6776,44,3048,419,111,74,11,2
2011,32,2888,6036,5762,7138,29,3405,510,110,58,12,4
2012,27,2644,6159,5822,7199,24,3692,624,137,57,18,2
2013,30,2842,6939,6228,7501,22,4462,782,131,70,9,4
2014,35,3207,8551,7598,8314,26,5267,986,157,78,8,2
