state,state_code,year,age_group,gender,race,deaths
Alabama,1,2000,35-44 years,Female,White,10
Alabama,1,2000,35-44 years,Male,White,11
Alabama,1,2001,35-44 years,Male,White,12
Alabama,1,2002,35-44 years,Male,White,11
Alabama,1,2002,45-54 years,Female,White,10
Alabama,1,2003,35-44 years,Male,White,10
Alabama,1,2004,15-24 years,Male,White,15
Alabama,1,2004,35-44 years,Male,White,14
Alabama,1,2004,45-54 years,Male,White,15
Alabama,1,2005,15-24 years,Male,White,13
Alabama,1,2005,25-34 years,Male,White,12
Alabama,1,2005,35-44 years,Male,White,10
Alabama,1,2005,45-54 years,Male,White,18
Alabama,1,2006,15-24 years,Male,White,14
Alabama,1,2006,25-34 years,Male,White,17
Alabama,1,2006,35-44 years,Female,White,18
Alabama,1,2006,35-44 years,Male,White,13
Alabama,1,2006,45-54 years,Female,White,13
Alabama,1,2006,45-54 years,Male,White,15
Alabama,1,2007,15-24 years,Male,White,28
Alabama,1,2007,25-34 years,Female,White,12
Alabama,1,2007,25-34 years,Male,White,24
Alabama,1,2007,35-44 years,Female,White,17
Alabama,1,2007,35-44 years,Male,White,22
Alabama,1,2007,45-54 years,Female,White,17
Alabama,1,2007,45-54 years,Male,White,15
Alabama,1,2008,15-24 years,Male,White,15
Alabama,1,2008,25-34 years,Female,White,14
Alabama,1,2008,25-34 years,Male,White,39
Alabama,1,2008,35-44 years,Female,White,29
Alabama,1,2008,35-44 years,Male,White,25
Alabama,1,2008,45-54 years,Female,White,20
Alabama,1,2008,45-54 years,Male,White,19
Alabama,1,2009,15-24 years,Male,White,17
Alabama,1,2009,25-34 years,Female,White,17
Alabama,1,2009,25-34 years,Male,White,37
Alabama,1,2009,35-44 years,Female,White,22
Alabama,1,2009,35-44 years,Male,White,28
Alabama,1,2009,45-54 years,Female,White,29
Alabama,1,2009,45-54 years,Male,White,22
Alabama,1,2010,15-24 years,Male,White,11
Alabama,1,2010,25-34 years,Female,White,17
Alabama,1,2010,25-34 years,Male,White,42
Alabama,1,2010,35-44 years,Female,White,18
Alabama,1,2010,35-44 years,Male,White,25
Alabama,1,2010,45-54 years,Female,White,19
Alabama,1,2010,45-54 years,Male,White,22
Alabama,1,2011,15-24 years,Male,White,13
Alabama,1,2011,25-34 years,Female,White,14
Alabama,1,2011,25-34 years,Male,White,25
Alabama,1,2011,35-44 years,Female,White,12
Alabama,1,2011,35-44 years,Male,White,25
Alabama,1,2011,45-54 years,Female,White,31
Alabama,1,2011,45-54 years,Male,White,23
Alabama,1,2012,15-24 years,Male,White,11
Alabama,1,2012,25-34 years,Female,White,13
Alabama,1,2012,25-34 years,Male,White,24
Alabama,1,2012,35-44 years,Female,White,12
Alabama,1,2012,35-44 years,Male,White,28
Alabama,1,2012,45-54 years,Female,White,18
Alabama,1,2012,45-54 years,Male,White,23
Alabama,1,2013,15-24 years,Male,White,13
Alabama,1,2013,25-34 years,Female,White,15
Alabama,1,2013,25-34 years,Male,White,33
Alabama,1,2013,35-44 years,Female,White,11
Alabama,1,2013,35-44 years,Male,White,19
Alabama,1,2013,45-54 years,Female,White,15
Alabama,1,2013,45-54 years,Male,White,18
Alabama,1,2013,55-64 years,Male,White,11
Alabama,1,2014,15-24 years,Male,White,16
Alabama,1,2014,25-34 years,Female,White,23
Alabama,1,2014,25-34 years,Male,White,40
Alabama,1,2014,35-44 years,Female,White,18
Alabama,1,2014,35-44 years,Male,White,31
Alabama,1,2014,45-54 years,Female,White,30
Alabama,1,2014,45-54 years,Male,White,33
Alabama,1,2014,55-64 years,Female,White,17
Alabama,1,2014,55-64 years,Male,White,26
Alaska,2,2008,25-34 years,Male,White,10
Alaska,2,2008,35-44 years,Male,White,12
Alaska,2,2008,45-54 years,Male,White,12
Alaska,2,2009,45-54 years,Female,White,10
Alaska,2,2009,45-54 years,Male,White,14
Alaska,2,2010,45-54 years,Male,White,11
Alaska,2,2011,45-54 years,Male,White,13
Alaska,2,2012,15-24 years,Male,White,10
Alaska,2,2012,25-34 years,Male,White,14
Alaska,2,2012,45-54 years,Male,White,10
Alaska,2,2013,25-34 years,Male,White,13
Alaska,2,2013,35-44 years,Male,White,13
Alaska,2,2014,25-34 years,Male,White,11
Arizona,4,1999,25-34 years,Female,White,11
Arizona,4,1999,25-34 years,Male,White,34
Arizona,4,1999,35-44 years,Female,White,14
Arizona,4,1999,35-44 years,Male,White,69
Arizona,4,1999,45-54 years,Female,White,11
Arizona,4,1999,45-54 years,Male,White,50
Arizona,4,2000,15-24 years,Male,White,12
Arizona,4,2000,25-34 years,Male,White,26
Arizona,4,2000,35-44 years,Female,White,18
Arizona,4,2000,35-44 years,Male,White,57
Arizona,4,2000,45-54 years,Female,White,22
Arizona,4,2000,45-54 years,Male,White,56
Arizona,4,2000,55-64 years,Male,White,11
Arizona,4,2001,15-24 years,Male,White,12
Arizona,4,2001,25-34 years,Male,White,29
Arizona,4,2001,35-44 years,Female,White,25
Arizona,4,2001,35-44 years,Male,White,60
Arizona,4,2001,45-54 years,Female,White,21
Arizona,4,2001,45-54 years,Male,White,66
Arizona,4,2002,15-24 years,Male,White,18
Arizona,4,2002,25-34 years,Female,White,15
Arizona,4,2002,25-34 years,Male,White,29
Arizona,4,2002,35-44 years,Female,White,28
Arizona,4,2002,35-44 years,Male,White,72
Arizona,4,2002,45-54 years,Female,White,31
Arizona,4,2002,45-54 years,Male,White,65
Arizona,4,2002,55-64 years,Female,White,10
Arizona,4,2002,55-64 years,Male,White,10
Arizona,4,2003,15-24 years,Male,White,26
Arizona,4,2003,25-34 years,Female,White,15
Arizona,4,2003,25-34 years,Male,White,32
Arizona,4,2003,35-44 years,Female,White,36
Arizona,4,2003,35-44 years,Male,White,60
Arizona,4,2003,45-54 years,Female,White,27
Arizona,4,2003,45-54 years,Male,White,67
Arizona,4,2003,55-64 years,Female,White,20
Arizona,4,2004,15-24 years,Male,White,32
Arizona,4,2004,25-34 years,Female,White,11
Arizona,4,2004,25-34 years,Male,White,32
Arizona,4,2004,35-44 years,Female,White,23
Arizona,4,2004,35-44 years,Male,White,62
Arizona,4,2004,45-54 years,Female,White,42
Arizona,4,2004,45-54 years,Male,White,72
Arizona,4,2004,55-64 years,Female,White,16
Arizona,4,2004,55-64 years,Male,White,14
Arizona,4,2005,15-24 years,Male,White,28
Arizona,4,2005,25-34 years,Female,White,22
Arizona,4,2005,25-34 years,Male,White,35
Arizona,4,2005,35-44 years,Female,White,31
Arizona,4,2005,35-44 years,Male,White,54
Arizona,4,2005,45-54 years,Female,White,58
Arizona,4,2005,45-54 years,Male,White,70
Arizona,4,2005,55-64 years,Female,White,12
Arizona,4,2005,55-64 years,Male,White,18
Arizona,4,2006,15-24 years,Female,White,11
Arizona,4,2006,15-24 years,Male,White,39
Arizona,4,2006,25-34 years,Female,White,15
Arizona,4,2006,25-34 years,Male,White,52
Arizona,4,2006,35-44 years,Female,White,41
Arizona,4,2006,35-44 years,Male,White,66
Arizona,4,2006,45-54 years,Female,White,57
Arizona,4,2006,45-54 years,Male,White,74
Arizona,4,2006,55-64 years,Female,White,23
Arizona,4,2006,55-64 years,Male,White,26
Arizona,4,2007,15-24 years,Female,White,16
Arizona,4,2007,15-24 years,Male,White,39
Arizona,4,2007,25-34 years,Female,White,19
Arizona,4,2007,25-34 years,Male,White,58
