,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,2001,67,4467634.0,1.55,1.2,1.9,138.0
1,US02,Alaska,2001,17,633714.0,2.95,1.6,4.3,138.0
2,US04,Arizona,2001,275,5273477.0,5.2,4.6,5.8,138.0
3,US05,Arkansas,2001,30,2691571.0,1.2,0.8,1.6,138.0
4,US06,California,2001,605,34479458.0,1.75,1.6,1.9,138.0
5,US08,Colorado,2001,204,4425687.0,4.6,4.0,5.2,138.0
6,US09,Connecticut,2001,158,3432835.0,4.6,3.9,5.3,138.0
7,US10,Delaware,2001,40,795699.0,5.2,3.6,6.8,138.0
8,US11,District of Columbia,2001,48,574504.0,8.65,6.2,11.1,138.0
9,US12,Florida,2001,890,16356966.0,5.45,5.1,5.8,138.0
10,US13,Georgia,2001,199,8377038.0,2.35,2.0,2.7,138.0
11,US15,Hawaii,2001,39,1225948.0,3.3,2.3,4.3,138.0
12,US16,Idaho,2001,51,1319962.0,4.0,2.9,5.1,138.0
13,US17,Illinois,2001,583,12488445.0,4.65,4.3,5.0,138.0
14,US18,Indiana,2001,79,6127760.0,1.3,1.0,1.6,138.0
15,US19,Iowa,2001,29,2931997.0,1.05,0.7,1.4,138.0
16,US20,Kansas,2001,47,2702162.0,1.8,1.3,2.3,138.0
17,US21,Kentucky,2001,149,4068132.0,3.7,3.1,4.3,138.0
18,US22,Louisiana,2001,87,4477875.0,2.0,1.6,2.4,138.0
19,US23,Maine,2001,61,1285692.0,4.85,3.6,6.1,138.0
20,US24,Maryland,2001,500,5374691.0,9.3,8.5,10.1,138.0
21,US25,Massachusetts,2001,519,6397634.0,8.1,7.4,8.8,138.0
22,US26,Michigan,2001,211,9991120.0,2.1,1.8,2.4,138.0
23,US27,Minnesota,2001,112,4982796.0,2.25,1.8,2.7,138.0
24,US28,Mississippi,2001,26,2852994.0,0.95,0.6,1.3,138.0
25,US29,Missouri,2001,137,5641142.0,2.4,2.0,2.8,138.0
26,US30,Montana,2001,21,906961.0,2.45,1.4,3.5,138.0
27,US31,Nebraska,2001,32,1719836.0,1.95,1.3,2.6,138.0
28,US32,Nevada,2001,205,2098399.0,9.75,8.4,11.1,138.0
29,US33,New Hampshire,2001,53,1255517.0,4.35,3.2,5.5,138.0
30,US34,New Jersey,2001,419,8492671.0,4.95,4.5,5.4,138.0
31,US35,New Mexico,2001,155,1831690.0,8.45,7.1,9.8,138.0
32,US36,New York,2001,654,19082838.0,3.45,3.2,3.7,138.0
33,US37,North Carolina,2001,342,8210122.0,4.15,3.7,4.6,138.0
34,US38,North Dakota,2001,360,639062.0,6.7166874222,5.7866749689,7.6466998755,138.0
35,US39,Ohio,2001,356,11387404.0,3.15,2.8,3.5,138.0
36,US40,Oklahoma,2001,170,3467100.0,4.9,4.2,5.6,138.0
37,US41,Oregon,2001,198,3467937.0,5.7,4.9,6.5,138.0
38,US42,Pennsylvania,2001,266,12298970.0,2.15,1.9,2.4,138.0
39,US44,Rhode Island,2001,86,1057142.0,8.25,6.5,10.0,138.0
40,US45,South Carolina,2001,89,4064995.0,2.25,1.8,2.7,138.0
41,US46,South Dakota,2001,10,757972.0,1.5,0.6,2.4,138.0
42,US47,Tennessee,2001,145,5750789.0,2.5,2.1,2.9,138.0
43,US48,Texas,2001,602,21319622.0,2.8,2.6,3.0,138.0
44,US49,Utah,2001,167,2283715.0,7.3,6.2,8.4,138.0
45,US50,Vermont,2001,39,612223.0,6.6,4.5,8.7,138.0
46,US51,Virginia,2001,326,7198362.0,4.5,4.0,5.0,138.0
47,US53,Washington,2001,332,5985722.0,5.5,4.9,6.1,138.0
48,US54,West Virginia,2001,150,1801481.0,8.35,7.0,9.7,138.0
49,US55,Wisconsin,2001,143,5406835.0,2.65,2.2,3.1,138.0
50,US56,Wyoming,2001,360,494657.0,6.7166874222,5.7866749689,7.6466998755,138.0
