,Id,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,US01,Alabama,2002,75,4480089.0,1.7,1.3,2.1,142.0
1,US02,Alaska,2002,360,642337.0,6.7166874222,5.7866749689,7.6466998755,142.0
2,US04,Arizona,2002,340,5396255.0,6.3,5.6,7.0,142.0
3,US05,Arkansas,2002,96,2705927.0,3.6,2.9,4.3,142.0
4,US06,California,2002,1583,34871843.0,4.55,4.3,4.8,142.0
5,US08,Colorado,2002,206,4490406.0,4.6,4.0,5.2,142.0
6,US09,Connecticut,2002,174,3458749.0,5.05,4.3,5.8,142.0
7,US10,Delaware,2002,54,806169.0,6.85,5.0,8.7,142.0
8,US11,District of Columbia,2002,29,573158.0,5.35,3.4,7.3,142.0
9,US12,Florida,2002,1001,16689370.0,6.0,5.6,6.4,142.0
10,US13,Georgia,2002,223,8508256.0,2.65,2.3,3.0,142.0
11,US15,Hawaii,2002,48,1239613.0,4.0,2.9,5.1,142.0
12,US16,Idaho,2002,45,1340372.0,3.45,2.4,4.5,142.0
13,US17,Illinois,2002,612,12525556.0,4.9,4.5,5.3,142.0
14,US18,Indiana,2002,74,6155967.0,1.2,0.9,1.5,142.0
15,US19,Iowa,2002,41,2934234.0,1.45,1.0,1.9,142.0
16,US20,Kansas,2002,87,2713535.0,3.3,2.6,4.0,142.0
17,US21,Kentucky,2002,185,4089875.0,4.55,3.9,5.2,142.0
18,US22,Louisiana,2002,105,4497267.0,2.35,1.9,2.8,142.0
19,US23,Maine,2002,100,1295960.0,7.7,6.2,9.2,142.0
20,US24,Maryland,2002,562,5440389.0,10.35,9.5,11.2,142.0
21,US25,Massachusetts,2002,491,6417206.0,7.65,7.0,8.3,142.0
22,US26,Michigan,2002,248,10015710.0,2.5,2.2,2.8,142.0
23,US27,Minnesota,2002,112,5018935.0,2.2,1.8,2.6,142.0
24,US28,Mississippi,2002,27,2858681.0,1.0,0.6,1.4,142.0
25,US29,Missouri,2002,198,5674825.0,3.5,3.0,4.0,142.0
26,US30,Montana,2002,21,911667.0,2.45,1.4,3.5,142.0
27,US31,Nebraska,2002,25,1728292.0,1.5,0.9,2.1,142.0
28,US32,Nevada,2002,270,2173791.0,12.4,10.9,13.9,142.0
29,US33,New Hampshire,2002,83,1269089.0,6.65,5.2,8.1,142.0
30,US34,New Jersey,2002,505,8552643.0,5.9,5.4,6.4,142.0
31,US35,New Mexico,2002,205,1855309.0,11.05,9.5,12.6,142.0
32,US36,New York,2002,586,19137800.0,3.05,2.8,3.3,142.0
33,US37,North Carolina,2002,412,8326201.0,4.95,4.5,5.4,142.0
34,US38,North Dakota,2002,14,638168.0,2.45,1.2,3.7,142.0
35,US39,Ohio,2002,459,11407889.0,4.05,3.7,4.4,142.0
36,US40,Oklahoma,2002,152,3489080.0,4.35,3.7,5.0,142.0
37,US41,Oregon,2002,247,3513424.0,7.05,6.2,7.9,142.0
38,US42,Pennsylvania,2002,357,12331031.0,2.9,2.6,3.2,142.0
39,US44,Rhode Island,2002,77,1065995.0,7.35,5.7,9.0,142.0
40,US45,South Carolina,2002,85,4107795.0,2.15,1.7,2.6,142.0
41,US46,South Dakota,2002,13,760020.0,1.9,0.9,2.9,142.0
42,US47,Tennessee,2002,179,5795918.0,3.05,2.6,3.5,142.0
43,US48,Texas,2002,788,21690325.0,3.65,3.4,3.9,142.0
44,US49,Utah,2002,213,2324815.0,9.15,7.9,10.4,142.0
45,US50,Vermont,2002,41,615442.0,6.9,4.8,9.0,142.0
46,US51,Virginia,2002,361,7286873.0,4.95,4.4,5.5,142.0
47,US53,Washington,2002,474,6052349.0,7.8,7.1,8.5,142.0
48,US54,West Virginia,2002,183,1805414.0,10.15,8.7,11.6,142.0
49,US55,Wisconsin,2002,173,5445162.0,3.2,2.7,3.7,142.0
50,US56,Wyoming,2002,17,500017.0,3.7,2.0,5.4,142.0
